FIPS Code,County [COUNTY_AGENCY],Office mailing address [COUNTY_MAIL_ADDRESS],Office Physical Address (if different) [COUNTY_PHYSICAL_ADDRESS],Office phone number [COUNTY_PHONE],Office fax number [COUNTY_FAX],Office email address [COUNTY_EMAIL_ADDRESS],Office Website [Link instead of spelling out URL] [COUNTY_WEBSITE],"Upload portal or email [Link URLs, write out emails] [COUNTY_UPLOAD_EMAIL]",Checked against current website,Is Supported?
37049 ,Craven County,"Craven County Department of Social Services
Food and Nutrition Services
P.O. Box 12039
New Bern, NC 28561","2818 Neuse Blvd.
New Bern, NC 28561",252-636-4900,252-636-4946,cravencountydss@cravencountync.gov,https://www.cravencountync.gov/1754/Food-and-Nutrition,,TRUE,N
37051 ,Cumberland County,"Cumberland County Department of Social Services
Food and Nutrition Services
P.O. Box 2429
Fayetteville, NC 28301","1225 Ramsey St.
Fayetteville, NC 28301",910-323-1540,910-677-2885,food_stamps@ccdssnc.com,https://www.cumberlandcountync.gov/departments/dss-group/department-of-social-services/economic-services/fns-(food-stamps),food_stamps@ccdssnc.com,TRUE,N
37053 ,Currituck County,"Currituck County Department of Social Services
Food and Nutrition Services
153 Courthouse Rd., Suite 400
Currituck, NC 27929","2793 Caratoke Hwy.
Currituck, NC 27929",252-232-3083,252-232-2167,,https://currituckcountync.gov/social-services/economic-independence/,,TRUE,N
37055 ,Dare County,"Dare County Department of Social Services
Food and Nutrition Services
P.O. Box 669
Manteo, NC 27954","109 Exeter St.
Manteo, NC 27954",252-475-5500,252-473-9824,,https://www.darenc.gov/departments/health-human-services/our-services/financial-assistance-services,,TRUE,N
37057 ,Davidson County,"Davidson County Department of Social Services
Food and Nutrition Services
P.O. Box 788
Lexington, NC 27293","Lexington Location:
913 Greensboro St.
Lexington, NC 27292

Thomasville Location:
211 W. Colonial Dr.
Thomasville, NC 27360",336-242-2500,"Lexington Location:
336-249-7588

Thomasville Location:
336-472-6635",,https://www.co.davidson.nc.us/417/Food-Nutrition,,TRUE,N
37059 ,Davie County,"Davie County Department of Social Services
Food and Nutrition Services
154 Government Center Drive
Mocksville, NC 27028",,336-753-6180,336-751-1639,fmcswain@daviecountync.gov,https://www.daviecountync.gov/193/Food-Nutrition-Services-Food-Stamps,,TRUE,N
37061 ,Duplin County,"Duplin County Department of Social Services
Food and Nutrition Services
P.O. Box 969, Kenansville, NC 28349","423 N. Main St.
Kenansville, NC 28349",910-296-2200,910-296-2323,,https://www.duplinnc.gov/212/Social-Services,,TRUE,N
37063 ,Durham County,"Durham County Department of Social Services
Food and Nutrition Services
P.O. Box 810, Durham, NC 27702-0810","414 E. Main St.
Durham, NC 27702-0810",919-560-8000,919-560-8101,,https://dconc.gov/Social-Services/Food-and-Nutrition-Services,https://dssmobile.dconc.gov/,TRUE,Y
37065 ,Edgecombe County,"Edgecombe County Department of Social Services
Food and Nutrition Services
P.O. Box 370
Tarboro, NC 27886","Tarboro Location:
122 E. St. James St.
Tarboro, NC 27886

Rocky Mount Location:
301 S. Fairview Rd.
Rocky Mount, NC 27801","Tarboro Location:
252-641-7611

Rocky Mount Location:
252-985-4101","Tarboro Location:
252-641-5816

Rocky Mount Location:
252-985-1615",,https://www.edgecombecountync.gov/departments/dss/index.php,,TRUE,N
37067 ,Forsyth County,"Forsyth County Department of Social Services
Food and Nutrition Services
741 North Highland Ave.
Winston-Salem, NC 27101",,336-703-3800,336-727-2842,customercare-user@forsyth.cc,https://www.co.forsyth.nc.us/hhs/fns.aspx,customercare-user@forsyth.cc,TRUE,N
37069 ,Franklin County,"Franklin County Department of Social Services
Food and Nutrition Services
P.O. Box 669
Louisburg, NC 27549","107-A Industrial Drive
Louisburg, NC 27549",919-496-5721,919-496-8137,franklincodss@franklincountync.gov,https://www.franklincountync.gov/302/Social-Services,,TRUE,N
37071 ,Gaston County,"Gaston County Department of Social Services
Food and Nutrition Services
330 Dr. Martin Luther King Jr. Way
Gastonia, NC 28052",,704-862-7500,704-862-7885,,https://www.gastongov.com/441/Social-Services-Division,,TRUE,N
37073 ,Gates County,"Gates County Department of Social Services
Food and Nutrition Services
P.O. Box 185, Gatesville, NC 27938","122 Main St.
Gatesville, NC 27938",252-357-0075,252-357-2132,,https://gatescountync.gov/social-services,,TRUE,N
37075 ,Graham County,"Graham County Department of Social Services
Food and Nutrition Services
P.O. Box 1878
Robbinsville, NC 28771","191 P & J Road
Robbinsville, NC 28771",828-479-7911,828-479-7928,,https://grahamcounty.org/social_serv.html,,TRUE,N
37077 ,Granville County,"Granville County Department of Social Services
Food and Nutrition Services
410 West Spring St.
Oxford, NC 27565",,919-693-1511,"919-603-5090
919-504-4894",,https://www.granvillecounty.org/521/Food-Nutrition-Services-Food-Stamps,,TRUE,N
37079 ,Greene County,"Greene County Department of Social Services
Food and Nutrition Services
227 Kingold Blvd. Suite A
Snow Hill, NC 28580",,252-747-5932,252-747-8654,,https://greenecountync.gov/departments/social-services/,,TRUE,N
37081 ,Guilford County,"Guilford County Department of Social Services
Food and Nutrition Services
P.O. Box 3388
Greensboro NC 27402","Greensboro Location:
1203 Maple St.
Greensboro, NC 27405

High Point Location:
325 E Russell Ave.
High Point, NC 27260",336-641-3000,336-641-5647,,https://www.guilfordcountync.gov/government/departments-and-agencies/department-health-and-human-services/social-services/economic-services#FoodAssistanceFoodStamps-2034,https://guilfordcountync.seamlessdocs.com/f/DSSDocuments,TRUE,N
37083 ,Halifax County,"Halifax County Department of Social Services
Food and Nutrition Services
P.O. Box 767, Halifax, NC 27839","4421 US Hwy 301
Halifax, NC 27839",252-536-2511,252-536-2432,,https://www.halifaxnc.com/170/Department-of-Social-Services,,TRUE,N
37085 ,Harnett County,"Harnett County Department of Social Services
Food and Nutrition Services
P.O. Box 2169
Lillington, NC 27546","311 Cornelius Harnett Blvd.
Lillington, NC 27546",910-814-6611,910-912-1853,,https://www.harnett.org/dss/?btid=2&bid=410,,TRUE,N
37087 ,Haywood County,"Haywood County Department of Social Services
Food and Nutrition Services
157 Paragon Parkway, Suite 300
Clyde, NC 28721",,828-452-6620,828-452-6690,,https://www.haywoodcountync.gov/434/Food-Nutrition-Services,,TRUE,N
37089 ,Henderson County,"Henderson County Department of Social Services
Food and Nutrition Services
1200 Spartanburg Hwy., Suite 300
Hendersonville, N.C. 28792",,828-697-5500,828-697-4976,ESinfo@HendersonCountyNC.gov  ,https://www.hendersoncountync.gov/socialservices/page/food-nutrition-food-stamps,ESinfo@HendersonCountyNC.gov  ,TRUE,N
37091 ,Hertford County,"Hertford County Department of Social Services
Food and Nutrition Services
P.O. Box 218
Winton, NC 27986","704 N King St.
Winton, NC 27986",252-358-7830,252-358-0597,,https://www.hertfordcountync.gov/departments/social_services/index.php,,TRUE,N
37093 ,Hoke County,"Hoke County Department of Social Services
Food and Nutrition Services
P.O. Box 340
Raeford, NC 28376","314 South Magnolia St.
Raeford, NC 28376",910-875-8725,910-848-3828,,https://www.hokecounty.net/326/Food-Nutrition-Services,,TRUE,N
37095 ,Hyde County,"Hyde County Department of Social Services
Food and Nutrition Services
P.O. Box 100
Engelhard, NC 27824","35015 US Hwy 264
Engelhard, NC 27824",252-926-4476,252-926-3711,,https://www.hydecountync.gov/departments/social_services.php,,TRUE,N
37097 ,Iredell County,"Iredell County Department of Social Services
Food and Nutrition Services
P.O. Box 788
Statesville, NC 28625","Statesville Location:
549 Eastside Drive
Statesville, NC 28625

Mooresville Location:
Government Center South - 4th Floor
610 E. Center Street
Mooresville, NC 28115",704-873-5631,704-878-5419,,https://www.iredellcountync.gov/299/Social-Services,Text to 704-873-5631,TRUE,N
37099 ,Jackson County,"Jackson County Department of Social Services
Food and Nutrition Services
15 Griffin St.
Sylva, NC 28779",,828-586-5546,828-586-6270,,https://jcdss.org/,,TRUE,N
37101 ,Johnston County,"Johnston County Department of Social Services
Food and Nutrition Services
P.O. Box 911
Smithfield, NC 27577","714 North St.
Smithfield, NC 27577",919-989-5300,919-989-5324,dss@johnstonnc.gov,https://www.johnstonnc.gov/dss/content.cfm?pageid=fs,,TRUE,N
37103 ,Jones County,"Jones County Department of Social Services
Food and Nutrition Services
418 NC Hwy 58 N., Unit D
Trenton, NC 28585",,252-448-2581,252-488-5651,jonescountydss@jonescountync.gov,https://jonescountync.gov/departments/social-services/,,TRUE,N
37105 ,Lee County,"Lee County Department of Social Services
Food and Nutrition Services
P.O. Box 1066
Sanford, NC 27330","530 Carthage St.
Sanford, NC 27330",919-718-4690,919-718-4634,dssswitchboard@leecountync.gov,https://leecountync.gov/departments/social_services/food___nutrition.php,,TRUE,N
37107 ,Lenoir County,"Lenoir County Department of Social Services
Food and Nutrition Services
P.O. Box 6
Kinston, NC 28502","130 W. King St.
Kinston, NC 28502",252-559-6400,252-559-6328,,https://lenoircountync.gov/social-services/food-and-nutrition/,,TRUE,N
37109 ,Lincoln County,"Lincoln County Department of Social Services
Food and Nutrition Services
P.O. Box 130
Lincolnton, NC 28093","1136 E. Main St.
Lincolnton, NC 28093",704-732-0738,980-405-1181,,https://www.lincolncountync.gov/135/Social-Services,,TRUE,N
37113 ,Macon County,"Macon County Department of Social Services
Food and Nutrition Services
1832 Lakeside Drive
Franklin, NC 28734",,828-349-2124,828-349-2401,,https://maconnc.org/dss-economic.html,,TRUE,N
37115 ,Madison County,"Madison County Department of Social Services
Food and Nutrition Services
5707 U.S. Hwy 25/70, Suite 1
Marshall, NC 28753",,828-649-2711,828-649-3687,,https://www.madisoncountync.gov/department-of-social-services.html,,TRUE,N
37117 ,Martin County,"Martin County Department of Social Services
Food and Nutrition Services
P.O. Box 809
Williamston, NC 27892","305 E. Main St.
Williamston, NC 27892",252-789-4430,252-789-4409,,https://www.martincountync.gov/departments/social_services/index.php,,TRUE,N
37111 ,McDowell County,"McDowell County Department of Social Services
Food and Nutrition Services
P.O. Box 338
Marion, NC 28752","145 E. Court St.
Marion, NC 28752",828-652-3355,828-652-9167,,http://www.mcdowellcountyncdss.org/economic-services/food-nutrition,,TRUE,N
37119 ,Mecklenburg County,"Mecklenburg County Department of Social Services
Food and Nutrition Services
301 Billingsley Rd.
Charlotte, NC 28222","Ella B. Scarborough Community Resource Center:
430 Stitt Rd.
Charlotte, NC 28213

Valerie C. Woodard Community Center:
3205 Freedom Dr., Suite 1000
Charlotte, NC 28208",704-336-3000,704-353-1325,,https://dcr.mecknc.gov/services/food-and-nutrition-services,https://allaccess.mecknc.gov/,TRUE,N
37121 ,Mitchell County,"Mitchell County Department of Social Services
Food and Nutrition Services
347 Long View Drive
Bakersville, NC 28705",,828-537-1683,828-688-4940,,https://www.mitchellcountync.gov/departments/social-services/,jennifer.garland@mitchellcountync.gov,TRUE,N
37123 ,Montgomery County,"Montgomery County Department of Social Services
Food and Nutrition Services
102 E. Spring St., Drawer N
Troy, NC 27371","102 E. Spring St.
Troy, NC 27371",910-576-6531,910-576-5016,,https://www.montgomerycountync.gov/departments/social-services/food-and-nutrition-services,,TRUE,N
37125 ,Moore County,"Moore County Department of Social Services
Food and Nutrition Services
P.O. Box 938
Carthage, NC 28327","1036 Carriage Oaks Drive
Carthage, NC 28327",910-947-2436,910-947-1618,,https://www.moorecountync.gov/263/Food-Nutrition,,TRUE,N
37127 ,Nash County,"Nash County Department of Social Services
Food and Nutrition Services
P.O. Drawer 819
Nashville, NC 27856","120 Washington St.
Nashville, NC 27856",252-459-9822,252-459-1373,,https://nashcountync.gov/357/Economic-Services,,TRUE,N
37129 ,New Hanover County,"New Hanover County Department of Social Services
Food and Nutrition Services
1650 Greenfield St.
Wilmington, NC 28401",,910-798-3500,910-798-7824,DSSinfo@nhcgov.com,https://www.nhcgov.com/440/Food-and-Nutrition-SNAP,DSSinfo@nhcgov.com,TRUE,N
37131 ,Northampton County,"Northampton County Department of Social Services
Food and Nutrition Services
P.O. Box 157
Jackson, NC 27845","9588 NC Hwy 305
Jackson, NC 27845",252-534-0521,252-534-0061,,https://www.northamptonnc.com/178/Social-Services,,TRUE,N
37133 ,Onslow County,"Onslow County Department of Social Services
Food and Nutrition Services
P.O. Box 1379
Jacksonville, NC 28541","612 College St.
Jacksonville, NC 28540",910-455-4145,910-219-4983,,https://www.onslowcountync.gov/1726/Food-Nutrition-Services,dssdropbox@onslowcountync.gov,TRUE,N
37135 ,Orange County,"Orange County Department of Social Services
Food and Nutrition Services
P.O. Box 8181
Hillsborough, NC 27278","113 Mayo St.
Hillsborough, NC 27278",919-245-2800,919-644-3005,dssinfo@orangecountync.gov,https://www.orangecountync.gov/458/Food-Nutrition-Services,,TRUE,N
37137 ,Pamlico County,"Pamlico County Department of Social Services
Food and Nutrition Services
828 Alliance Main St.
Bayboro, NC 28515",,252-745-4086,252-745-7384,,https://pamlicocounty.org/departments/social_services/index.php,,TRUE,N
37139 ,Pasquotank County,"Pasquotank County Department of Social Services
Food and Nutrition Services
709 Roanoke Ave.
Elizabeth City, NC 27909",,252-338-2126,252-335-4110,PCDSSReception@pcdss.com,https://www.pasquotankcountync.org/dss,,TRUE,N
37141 ,Pender County,"Pender County Department of Social Services
Food and Nutrition Services
P.O. Box 1207, Burgaw, NC 28425","810 S. Walker St.
Burgaw, NC 28425",910-259-1240,910-259-0657,penderdss@pendercountync.gov,https://pendercountync.gov/192/Food-Nutritional-Services,penderdss@pendercountync.gov,TRUE,N
37143 ,Perquimans County,"Perquimans County Department of Social Services
Food and Nutrition Services
P.O. Box 107, Hertford, NC 27944","103 Charles St.
Hertford, NC 27944",252-426-7373,252-426-1240,caseservice@perqdss.net,https://www.perquimanscountync.gov/programs-a-services,caseservice@perqdss.net,TRUE,N
37145 ,Person County,"Person County Department of Social Services
Food and Nutrition Services
P.O. Box 770
Roxboro, NC 27573","355-B South Madison Blvd.
Roxboro, NC 27573",336-599-8361,336-597-9339,,https://www.personcountync.gov/government/departments-i-z/social-services/programs,,TRUE,N
37147 ,Pitt County,"Pitt County Department of Social Services
Food and Nutrition Services
1717 W. Fifth St.
Greenville, NC 27834",,252-902-1110,252-413-1299,,https://www.pittcountync.gov/1334/Food-Housings-Utility-Assistance,,TRUE,N
37149 ,Polk County,"Polk County Department of Social Services
Food and Nutrition Services
231 Wolverine Trail
Mill Spring, NC 28756",,828-894-2100,828-894-6326,,https://www.polknc.gov/food_and_nutrition.php,,TRUE,N
37151 ,Randolph County,"Randolph County Department of Social Services
Food and Nutrition Services
P.O. Box 3239
Asheboro, NC 27204-3239","1512 N. Fayetteville St.
Asheboro, NC 27204-3239",336-683-8000,336-683-8131,,https://www.randolphcountync.gov/293/Social-Services,,TRUE,N
37153 ,Richmond County,"Richmond County Department of Social Services
Food and Nutrition Services
P.O. Box 518, Rockingham, NC 28380","125 Caroline St.
Rockingham, NC 28379",910-997-8422,910-997-8447,,https://www.richmondnc.com/153/Food-Nutrition,,TRUE,N
37155 ,Robeson County,"Robeson County Department of Social Services
Food and Nutrition Services
120 Glen Cowan Road
Lumberton, NC 28360",,910-671-3500,910-671-3092,,https://www.robesoncountync.gov/dss,,TRUE,N
37157 ,Rockingham County,"Rockingham County Department of Social Services
Food and Nutrition Services
P.O. Box 61
Wentworth, NC 27375","411 NC Hwy 65
Wentworth, NC 27375",336-342-1394,336-634-1847,,https://www.rockinghamcountync.gov/21319/Apply-For-Assistance,,TRUE,N
37159 ,Rowan County,"Rowan County Department of Social Services
Food and Nutrition Services
1813 E. Innes St.
Salisbury, NC 28146",,704-216-8330,"704-216-8433
704-216-7937",,https://www.rowancountync.gov/823/Food-Nutrition-Services,,TRUE,N
37161 ,Rutherford County,"Rutherford County Department of Social Services
Food and Nutrition Services
P.O. Box 242
Spindale, NC 28160","389 Fairground Road
Spindale, NC 28160",828-287-6165,828-288-4045,,https://www.rutherfordcountync.gov/departments/social_services/index.php,,TRUE,N
37163 ,Sampson County,"Sampson County Department of Social Services
Food and Nutrition Services
P.O. Box 1105
Clinton, NC 28329","360 County Complex Road, Bldg. E., Suite 100
Clinton, NC 28328",910-592-7131,910-592-4297,,https://www.sampsoncountync.gov/Government/Departments-A-Z/Social-Services/Food-and-Nutrition-Services-Food-Stamps,,TRUE,N
37165 ,Scotland County,"Scotland County Department of Social Services
Food and Nutrition Services
P.O. Box 1647
Laurinburg, NC 28353","1405 West Boulevard
Laurinburg, NC 28353",910-277-2500,910-277-2402,fns@scotlandcounty.org,https://www.scotlandcounty.org/275/Food-Nutrition,fns@scotlandcounty.org,TRUE,N
37167 ,Stanly County,"Stanly County Department of Social Services
Food and Nutrition Services
1000 N. First St., Suite 2
Albemarle, NC 28001",,704-982-6100,704-983-5818,,https://www.stanlycountync.gov/377/Food-Nutrition-Services-FNS,,TRUE,N
37169 ,Stokes County,"Stokes County Department of Social Services
Food and Nutrition Services
P.O. Box 30
Danbury, NC 27016","1010 N. Main St.
Danbury, NC 27016",336-593-2861,336-593-9362,,https://www.co.stokes.nc.us/departments/food___nutrition_services.php,,TRUE,N
37171 ,Surry County,"Surry County Department of Social Services
Food and Nutrition Services
P.O. Box 1466
Dobson, NC 27017","118 Hamby Road
Dobson, NC 27017",336-401-8700,336-401-8750,,https://www.co.surry.nc.us/departments/social_services/index.php,,TRUE,N
37173 ,Swain County,"Swain County Department of Social Services
Food and Nutrition Services
P.O. Box 610
Bryson City, NC 28713","80 Academy St.
Bryson City, NC 28713",828-488-6921,828-488-8271,SocialServices@swaincountync.gov ,https://www.swaincountync.gov/social-services/,,TRUE,N
37175 ,Transylvania County,"Transylvania County Department of Social Services
Food and Nutrition Services
106 E. Morgan St.
Brevard, NC 28712",,828-884-3174,828-884-3263,,https://www.transylvaniacounty.org/departments/social-services#financial,,TRUE,N
37177 ,Tyrrell County,"Tyrrell County Department of Social Services
Food and Nutrition Services
P.O. Box 599
Columbia, NC 27925","102 N. Road St.
Columbia, NC 27925",252-796-3421,252-796-1732,,http://tyrrellcounty.org/en/social-services,,TRUE,N
37179 ,Union County,"Union County Department of Social Services
Food and Nutrition Services
2330 Concord Avenue
Monroe, NC 28110",,704-296-4300,704-296-6101,MyFNS@unioncountync.gov,https://www.unioncountync.gov/government/departments-r-z/social-services/economic-services,MyFNS@unioncountync.gov,TRUE,N
37181 ,Vance County,"Vance County Department of Social Services
Food and Nutrition Services
500 North Beckford Drive, Suite C
Henderson, NC 27536",,252-492-5001,252-438-5997,,,,TRUE,N
37183 ,Wake County,"Wake County Department of Social Services
Food and Nutrition Services
P.O. Box 46833
Raleigh, NC 27620","220 Swinburne St.
Raleigh, NC 27620",919-212-7000,919-212-7285,Foodandnutrition@wake.gov,https://www.wake.gov/departments-government/health-human-services/programs-assistance/food-and-nutrition-services,FNSrecert@wake.gov,TRUE,N
37185 ,Warren County,"Warren County Department of Social Services
Food and Nutrition Services
307 N. Main St.
Warrenton, NC 27589",,252-257-5000,252-257-5610,DSS@warrencountync.gov,https://www.warrencountync.com/167/Social-Services,,TRUE,N
37187 ,Washington County,"Washington County Department of Social Services
Food and Nutrition Services
P.O. Box 10
Plymouth, NC 27962","209 E. Main St.
Plymouth, NC 27962",252-793-4041,252-793-3195,,https://washconc.org/department-of-social-services/,,TRUE,N
37189 ,Watauga County,"Watauga County Department of Social Services
Food and Nutrition Services
132 Poplar Grove Connector, Suite C
Boone, NC 28607",,828-265-8100,828-265-7638,,https://www.wataugacounty.org/App_pages/Dept/SocialServices/contact.aspx,,TRUE,N
37191 ,Wayne County,"Wayne County Department of Social Services
Food and Nutrition Services
P.O. Box HH
Goldsboro, NC 27530","301 N. Herman St.
Goldsboro, NC 27530",919-580-4034,919-705-1742,,https://www.waynegov.com/462/Food-Nutrition-Services,,TRUE,N
37193 ,Wilkes County,"Wilkes County Department of Social Services
Food and Nutrition Services
304 College St.
Wilkesboro, NC 28697",,336-651-7400,336-651-7568,,https://www.wilkescounty.net/295/Family-Services,,TRUE,N
37195 ,Wilson County,"Wilson County Department of Social Services
Food and Nutrition Services
P.O. Box 459
Wilson, NC 27894","100 NE Gold St.
Wilson, NC 27894",252-206-4000,252-206-4198,,https://www.wilsoncountync.gov/departments/social-services/services/food-nutrition-services,,TRUE,N
37197 ,Yadkin County,"Yadkin County Department of Social Services
Food and Nutrition Services
P.O. Box 548
Yadkinville, NC 27055","217 Willow St.
Yadkinville, NC 27055",336-679-4210,336-679-2664,,https://www.yadkincountync.gov/268/Food-and-Nutrition,,TRUE,N
37199 ,Yancey County,"Yancey County Department of Social Services
Food and Nutrition Services
P.O. Box 67
Burnsville, NC 28714","320 Pensacola Road
Burnsville, NC 28714",828-682-6148,828-682-6712,,https://www.yanceycountydss.us/food-and-nutrition,Ida.Wilson@yanceycountync.gov,TRUE,N
